Nombre,TipoVia,Tramo,Numero,Zona,DS,Codigo
JOVELLANOS,CALLE,COMPLETO,0,SUR,6_28,1115
"JUAN DE AUSTRIA",CALLE,COMPLETO,0,NORTE,"1_16,1_7,1_10,1_12",99
"JUAN DE LA COSA",CALLE,COMPLETO,0,NORTE,1_14,5032
"JUAN DE MARIANA",CALLE,COMPLETO,0,NORTE,3_3,1068
"JUAN FRANZON AÑINO",CALLE,COMPLETO,0,SUR,6_9,1065
"JUAN MALPICA",CALLE,COMPLETO,0,NORTE,1_14,296
"JUAN RAMON JIMENEZ",CALLE,COMPLETO,0,NORTE,1_11,5060
"JUAN SEBASTIAN ELCANO",CALLE,COMPLETO,0,NORTE,"1_14,1_15,1_17",300
"JUAN VAN HALEN",CALLE,COMPLETO,0,CENTRO,6_4,2012
JUPITER,CALLE,COMPLETO,0,SUR,6_26,3099
"LADRILLERA (DE LA)",PLAZA,COMPLETO,0,NORTE,4_6,5031
LANDA,CALLE,COMPLETO,0,NORTE,1_5,317
LANUZA,CALLE,COMPLETO,0,CENTRO,5_4,2117
LANZA,CALLE,COMPLETO,0,NORTE,"1_10,2_1",106
LAURIA,CALLE,COMPLETO,0,CENTRO,"6_4,6_5,6_18",4041
LEPANTO,CALLE,COMPLETO,0,CENTRO,5_2,82
LEZO,CALLE,COMPLETO,0,CENTRO,5_5,1070
LISTA,CALLE,COMPLETO,0,CENTRO,"4_3,5_3",2072
"LOPE DE VEGA",CALLE,COMPLETO,0,CENTRO,"5_5,6_2",3047
LOSADA,CALLE,COMPLETO,0,CENTRO,"5_4,6_1",3114
LUGANO,CALLE,COMPLETO,0,SUR,6_8,448
"LUIS CERNUDA",CALLE,COMPLETO,0,SUR,6_14,3118
"LUIS DE ARDILA",CALLE,COMPLETO,0,NORTE,1_6,153
"LUIS DE OSSIO",CALLE,COMPLETO,0,NORTE,"1_14,1_15,1_17",5045
"LUIS MILENA",CALLE,COMPLETO,0,SUR,"6_8,6_11,6_25",451
LUNA,CALLE,COMPLETO,0,SUR,6_26,1201
"MADRES CAPUCHINAS",CALLE,COMPLETO,0,NORTE,4_6,1173
"MAESTRO FRANCISCO ROMERO NARANJO",CALLE,COMPLETO,0,NORTE,1_15,1001
"MAESTRO PORTELA",CALLE,COMPLETO,0,NORTE,"2_1,3_6",100
MAGALLANES,CALLE,COMPLETO,0,NORTE,"1_17,1_5,1_14,1_15",322
MALAGA,CALLE,COMPLETO,0,SUR,6_14,5228
MALAGUEÑAS,CALLE,COMPLETO,0,SUR,6_26,5204
MALASPINA,CALLE,COMPLETO,0,CENTRO,"5_5,6_2,6_3",2050
MALDONADO,CALLE,COMPLETO,0,CENTRO,5_7,84
MALLORCA,CALLE,COMPLETO,0,CENTRO,5_4,2138
"MANUEL DE ARRIAGA",CALLE,COMPLETO,0,CENTRO,6_1,2129
